,phone_number,prediction
0,A1NMU6IWZ8BEULJ,7.217307449202179
1,VFGMTM0YN88U417,7.855154999741875
2,MOD809IE6R7EYC4,7.1685704131134536
3,SQUD25WWUMYRMIF,7.863872830617796
4,B0CYBBXTF47JE83,7.1807953458705205
5,HQ1AH8EJLYFT2N3,7.77044367752692
6,SSCMQ9O7U6EWDSC,7.00537695553459
7,XNAB4VCWSBG7YXQ,7.889833329544769
8,O7ULRQZ9B36TZ6I,7.678990092714337
9,SUBIQN01D2OEW74,7.777317962480342
10,9T6K8ADVN80OW2I,7.914455189835143
11,CRCX9Y85414FYHW,7.00537695553459
12,AH1RUTKJZKRWLOO,7.863872830617796
13,4NZDGEMLZ8EA1ET,7.5788916128769
14,DZ890DAEOSWNLJM,7.00537695553459
15,BEKHQHOTLVR8ONT,7.18935447040813
16,SE0R829FWF4BBIO,7.532626647207019
17,PNLPX70ZD991KQJ,7.889833329544769
18,CZ813QXS1A4CKA9,7.052654382981533
19,W2S4TORTK5VX4KL,7.600955001777309
20,3KCTRFN7OVDLFPC,7.859071093740594
21,6Z92XSOP84TSGAE,7.624521672845439
22,BB0Q97XCRRCD2WL,7.8642865225719145
23,CAVIJOIHAMJMHCX,7.818604860602797
24,MPJOU7FARZ446M3,7.841611608330661
25,U925FKEJ3SD2N58,7.388836639889267
26,N4SRW26TBCM8DYE,7.817150582241928
27,XQB09TLP994ZWSV,7.829608192769021
28,7OWQE9ZKQF3NZEK,7.532121165233146
29,ITDAYP9LGWT4YF0,7.77044367752692
30,PYPF1MKI1LFFUHY,7.512650774806084
31,UDQLLJNICH29VEV,7.8184345009457115
32,4NABHWOK968P3WU,7.589865577167969
33,97WSPHC08C37PSL,7.550296271009489
34,G1NW4BXDWGLYJWE,7.420956603034952
35,N98R43DIGR4HQWC,7.930469922339651
36,IBKHW1PYGIDFU62,7.6273929087079155
37,FZXWFIBVHWQZ1GP,7.794302105659505
38,OPP3JLQ6LIYUYNM,7.880212763065535
39,71253YTVQ77CXFP,7.514367856094273
40,DAG1AGWZW3OSZIA,7.889833329544769
41,7TGLMYF4MN8G5L4,7.889833329544769
42,AIQAD5V0GE81I6U,7.399807320810999
43,4JB2T9O38H5K3UQ,7.515447582761872
44,QL40KUZ00NXOUOA,7.706766151270394
45,DSPINA6UM32XNKO,7.3011881423600125
46,JNUQYDRIB388ZIM,7.627249288905133
47,QJFLX0RTQRGBCLA,7.930469922339651
48,O51WI09F9QDKU61,7.256160953001341
49,YW9R933OM11VT2K,7.744836003261681
50,05L2WRAPOW1EI0U,7.205087226676828
51,L4P291A0DCDPEQ0,7.572142412989361
52,2FOJC2DFG3RRNY9,7.800880713387863
53,VC5ETUMM2O3FS7C,7.4933621692988845
54,NF7JPROWXAMEO89,7.639688437612208
55,72L6P1J93C7L27O,7.877240175102084
56,C4CYEZPHYK0DJ7F,7.119508827032026
57,U5HB15CW0ZB0MS7,7.930469922339651
58,YWSNF528OWTBZIX,7.771053779238488
59,G0C4V300KGAI202,7.930469922339651
60,L7OP690YFW7GETM,7.839250970327421
61,9H21WDMH3TLAM4Q,7.534707560851739
62,BX764AZ6J4M7LCF,7.873907089051148
63,VPEEIS4KG66T8XH,7.478120383442542
64,93F6YU4SYSM1FLM,7.930469922339651
65,HZ947RMKYT59NEX,7.8184345009457115
66,T3XX1KMOWNE7QRA,7.889833329544769
67,MNWZM4X1JG8OQ2E,7.485050917043167
68,G1UEGMVUKD3SKVS,7.217859980803482
69,BHQYCIYT1IHHZ0W,7.880212763065535
70,9PFW223RJ5VUJMJ,7.5406665158040775
71,KN5JI70V46JOYQR,7.598693831329457
72,1US4NF512AOC7MT,7.405765297823463
73,6HWM7A7E37GV0PP,7.878758484704667
74,S1BOMSLJWXQKJ7D,7.560639053038318
75,D90GGF7W92UV09Y,7.264989273477633
76,ESRFHCQXQIQOOLI,7.805015637603129
77,88EMZSDJHRBNV80,7.438914412964625
78,EBHX2KNEEWXXAHA,7.320298072078872
79,ZSVYTC8P02IDSN2,7.3951361965446285
80,JSADTKOLHH7X766,7.758689425465137
81,4U2H03OESAXZV0N,7.633790364867083
82,OAQ8SQ8LQJ51G2H,7.654926296619348
83,QCZCSJA2ROQO043,7.514385067389851
84,R9UQA8ZNC36DMHW,7.714705091148957
85,X4JFNCEVJZ8T0LV,7.877240175102084
86,28QDWFKWU07N04L,7.805359265963574
87,7Y4RSRVGN66I0N3,7.527244754563994
88,IMWCC3K8V95INPS,7.052654382981533
89,VL5L8ADL53RV0J5,7.7163364875921205
90,2PJ91KLUYIK0NAL,7.287633374214409
91,O3DFWPYFEQJJAAB,7.808134527244797
92,YF7VDUIS1WJT7T0,7.129661783872345
93,HT4XAF3H7WXRRC3,7.652001351310981
94,VIH7YRDVHIARTJ2,7.494721709995754
95,A6ABPZLDFE692CP,7.614913819615925
96,FRJGL1DAZNA7GL2,7.191306774977553
97,ENZCKA2KRDAWZZD,7.442953334791319
98,P7OPD8RGJ23IOTZ,7.889833329544769
99,SGJ9JH8RYM85LXG,7.889833329544769
